iter	Passed	Remaining
0	67	672586
1	75	377804
2	83	277668
3	89	223464
4	95	190019
5	101	168401
6	106	152278
7	112	140712
8	118	131744
9	126	126186
10	131	119794
11	140	116960
12	146	112592
13	152	108825
14	161	107448
15	167	104350
16	172	101181
17	178	98960
18	191	100747
19	202	100850
20	221	105084
21	235	106629
22	257	111523
23	266	110852
24	272	108738
25	282	108191
26	289	106993
27	296	105642
28	302	104026
29	309	102700
30	315	101315
31	329	102579
32	335	101283
33	342	100500
34	353	100653
35	359	99524
36	368	99268
37	375	98496
38	383	97833
39	390	97312
40	397	96426
41	403	95712
42	409	94910
43	419	94953
44	426	94238
45	433	93701
46	444	94060
47	452	93857
48	463	94074
49	468	93316
50	474	92592
51	481	92045
52	487	91426
53	493	90822
54	499	90277
55	505	89791
56	512	89363
57	518	88858
58	525	88592
59	532	88199
60	538	87758
61	544	87208
62	550	86777
63	556	86372
64	563	86092
65	568	85633
66	575	85371
67	584	85382
68	592	85324
69	599	85012
70	605	84638
71	612	84446
72	618	84112
73	624	83779
74	630	83419
75	637	83198
76	643	82919
77	651	82823
78	657	82549
79	663	82241
80	669	81972
81	679	82176
82	690	82487
83	696	82221
84	703	82021
85	709	81816
86	716	81659
87	723	81504
88	730	81335
89	741	81656
90	749	81595
91	757	81611
92	763	81339
93	770	81156
94	776	80938
95	785	81034
96	793	80966
97	798	80719
98	806	80602
99	812	80423
100	818	80235
101	826	80188
102	833	80086
103	845	80438
104	853	80402
105	864	80653
106	871	80533
107	877	80337
108	885	80338
109	893	80305
110	899	80158
111	907	80120
112	913	79939
113	920	79801
114	929	79866
115	938	79983
116	947	79995
117	958	80285
118	965	80128
119	971	80013
120	977	79835
121	984	79708
122	993	79743
123	999	79574
124	1005	79444
125	1011	79225
126	1018	79201
127	1025	79061
128	1031	78905
129	1037	78743
130	1043	78590
131	1048	78411
132	1055	78330
133	1062	78231
134	1068	78072
135	1076	78086
136	1082	77941
137	1089	77843
138	1095	77684
139	1102	77627
140	1110	77659
141	1119	77700
142	1126	77633
143	1133	77562
144	1141	77553
145	1147	77461
146	1154	77366
147	1161	77292
148	1167	77186
149	1174	77086
150	1181	77075
151	1189	77029
152	1196	76973
153	1205	77066
154	1212	76989
155	1218	76909
156	1228	76992
157	1236	77014
158	1243	76935
159	1251	76982
160	1257	76856
161	1266	76883
162	1273	76856
163	1280	76781
164	1287	76762
165	1294	76683
166	1300	76593
167	1308	76547
168	1315	76501
169	1322	76462
170	1330	76457
171	1336	76372
172	1343	76309
173	1350	76258
174	1368	76801
175	1376	76814
176	1385	76899
177	1392	76857
178	1399	76791
179	1406	76723
180	1416	76842
181	1423	76761
182	1430	76728
183	1437	76702
184	1447	76762
185	1454	76743
186	1461	76704
187	1470	76722
188	1476	76651
189	1484	76623
190	1493	76688
191	1500	76648
192	1507	76592
193	1514	76530
194	1522	76534
195	1529	76522
196	1536	76471
197	1548	76665
198	1555	76588
199	1564	76648
200	1572	76634
201	1578	76563
202	1586	76553
203	1594	76583
204	1603	76588
205	1650	78452
206	1658	78438
207	1671	78682
208	1678	78602
209	1686	78626
210	1698	78794
211	1707	78818
212	1722	79149
213	1731	79185
214	1742	79299
215	1750	79287
216	1757	79221
217	1764	79173
218	1775	79273
219	1783	79284
220	1793	79331
221	1802	79370
222	1816	79625
223	1824	79633
224	1835	79730
225	1843	79711
226	1851	79706
227	1858	79630
228	1867	79655
229	1874	79632
230	1884	79668
231	1896	79835
232	1904	79830
233	1911	79779
234	1918	79715
235	1925	79664
236	1933	79635
237	1943	79691
238	1953	79782
239	1961	79774
240	1968	79719
241	1977	79726
242	1984	79681
243	1992	79644
244	1999	79605
245	2005	79508
246	2012	79449
247	2018	79369
248	2025	79323
249	2032	79264
250	2039	79223
251	2046	79161
252	2053	79095
253	2062	79139
